season,episode,is offensive,comment
4,13,NO,
5,8,YES,
6,13,YES,
6,15,YES,
7,5,YES,
7,22,YES,
8,5,YES,
8,6,NO,
8,15,YES,
8,19,YES,
8,21,YES,
8,22,YES,
9,4,YES,REF
9,20,YES,
9,22,NO,
10,11,YES,
